Name,CompanyType,ValidationStatus,Phone_Type,Phone_Number,Email_Type,Email_Value,Email_Active,TaxID,Identifiers_Type,Identifiers_Value,Identifiers_Status,Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
Morgan-Jenkins,Government,Pending,Home,(558) 842-9131,Business,eugene.thompson@morganjenkins.com,True,TAX89546,PAN,qc07678,Active,"71140 James Passage Suite 990, Suite 350, New Reneeside, PW 94854-2830",71140 James Passage Suite 990,Suite 350,New Reneeside,PW,USA,94854-2830,94854,2830
"Keller, Santos and Frye",Government,Pending,Mobile,(320) 313-2062,Business,shelly.cooper@keller.com,False,TAX96012,GST,ZZ17905,Inactive,"78965 Dawson Rue Apt. 970, Apt. 536, West David, ID 43788-8193",78965 Dawson Rue Apt. 970,Apt. 536,West David,ID,USA,43788-8193,43788,8193
"Bradshaw, Wilson and Ford",Partnership,Pending,Home,(862) 613-1636,HR,sara.walker@bradshaw.com,False,TAX53673,GST,ID28846,Pending,"0552 Samantha Light, Suite 074, South Nicoleville, KS 37283-2372",0552 Samantha Light,Suite 074,South Nicoleville,KS,USA,37283-2372,37283,2372
Simmons-Cummings,Public,Validated,Mobile,(703) 423-5146,Support,alan.navarro@simmonscummings.com,True,TAX57643,GST,fr24261,Pending,"41541 Jenkins Views, Apt. 465, New Alicialand, ID 33251-7588",41541 Jenkins Views,Apt. 465,New Alicialand,ID,USA,33251-7588,33251,7588
Smith LLC,Private,Pending,Mobile,(298) 592-5924,HR,courtney.sparks@smith.com,False,TAX28741,LEI,Wf17352,Expired,"348 Rebecca Pass Apt. 975, East April, MA 66122-4778",348 Rebecca Pass Apt. 975,,East April,MA,USA,66122-4778,66122,4778
Williamson-May,Partnership,Validated,Office,(816) 800-2770,Business,natalie.wong@williamsonmay.com,True,TAX21209,LEI,uB20001,Active,"839 Barrett Drives Suite 391, Curtisland, LA 28006-2372",839 Barrett Drives Suite 391,,Curtisland,LA,USA,28006-2372,28006,2372
Phillips PLC,Government,Pending,Home,(933) 887-8852,Support,lawrence.hobbs@phillips.com,True,TAX73215,DUNS,Lf57579,Pending,"7422 Julie Lock Suite 543, Suite 838, East Cindyview, IL 46580-6536",7422 Julie Lock Suite 543,Suite 838,East Cindyview,IL,USA,46580-6536,46580,6536
"Curtis, Bailey and Lewis",Non-Profit,In Review,Office,(915) 955-2508,Business,michael.lewis@curtis.com,False,TAX19672,GST,RU02703,Inactive,"948 Tamara Track Apt. 335, Colleenberg, HI 28660-2198",948 Tamara Track Apt. 335,,Colleenberg,HI,USA,28660-2198,28660,2198
"Jennings, Martinez and Morales",Private,Pending,Office,(575) 628-6659,Sales,charles.krueger@jennings.com,True,TAX46305,DUNS,Pl91803,Pending,"995 Mcmillan Trafficway, North Nicoleshire, MT 73281-6661",995 Mcmillan Trafficway,,North Nicoleshire,MT,USA,73281-6661,73281,6661
Carter-Fuentes,Private,In Review,Fax,(692) 951-9829,HR,tracy.hoffman@carterfuentes.com,True,TAX60760,GST,tZ23451,Expired,"87438 Jackie Throughway, Suite 120, Kristenfort, GA 69906-6647",87438 Jackie Throughway,Suite 120,Kristenfort,GA,USA,69906-6647,69906,6647
Short-Williams,Private,Validated,Home,(813) 643-7600,Business,david.jenkins@shortwilliams.com,True,TAX40359,DUNS,AB17286,Inactive,"6263 Kelly Gardens, Suite 271, Leemouth, WA 68482-1948",6263 Kelly Gardens,Suite 271,Leemouth,WA,USA,68482-1948,68482,1948
Elliott PLC,Government,Rejected,Home,(500) 526-2033,Personal,mark.beck@elliott.com,True,TAX33198,GST,tP19939,Expired,"2540 Cox Club Suite 086, Suite 545, Chungland, DC 35237-7613",2540 Cox Club Suite 086,Suite 545,Chungland,DC,USA,35237-7613,35237,7613
"Larson, Hall and Hicks",Public,Validated,Home,(484) 972-9517,Personal,james.smith@larson.com,True,TAX89562,TIN,ok38366,Expired,"41470 Johnson Rest Apt. 803, Suite 459, Lake Anna, MT 64427-1615",41470 Johnson Rest Apt. 803,Suite 459,Lake Anna,MT,USA,64427-1615,64427,1615
"Davidson, Marshall and Graham",Government,Pending,Office,(990) 588-9875,Sales,lori.rogers@davidson.com,True,TAX30041,EIN,PA82411,Inactive,"280 Catherine Glen Suite 988, Codyview, NH 78245-6136",280 Catherine Glen Suite 988,,Codyview,NH,USA,78245-6136,78245,6136
Cardenas-Stewart,Public,In Review,Home,(308) 403-5239,Sales,connie.miles@cardenasstewart.com,False,TAX79309,TIN,xC92910,Inactive,"723 Kelly Bridge Suite 988, Kelleyland, NM 41676-2318",723 Kelly Bridge Suite 988,,Kelleyland,NM,USA,41676-2318,41676,2318
Richardson PLC,Private,In Review,Mobile,(676) 379-6800,Sales,victoria.mitchell@richardson.com,False,TAX47096,EIN,xO90449,Active,"10421 Williams Highway Apt. 226, Apt. 865, Port Alexis, PW 81794-2569",10421 Williams Highway Apt. 226,Apt. 865,Port Alexis,PW,USA,81794-2569,81794,2569
Harvey-Brady,Government,Validated,Fax,(725) 318-2405,Sales,joseph.foster@harveybrady.com,False,TAX64310,PAN,lf71876,Pending,"28798 Eric Wall Suite 505, Apt. 100, East Dawn, WA 62189-7390",28798 Eric Wall Suite 505,Apt. 100,East Dawn,WA,USA,62189-7390,62189,7390
May-Ellis,LLC,In Review,Office,(374) 800-1151,Sales,justin.shaffer@mayellis.com,False,TAX19888,PAN,Bt34755,Inactive,"565 Jones Ridge, Fitzpatrickshire, NV 65562-4007",565 Jones Ridge,,Fitzpatrickshire,NV,USA,65562-4007,65562,4007
"Lam, Hernandez and Horton",Private,Approved,Mobile,(707) 336-5206,Business,samantha.fitzpatrick@lam.com,True,TAX24748,DUNS,Gj99348,Inactive,"860 Oliver Glens, Suite 144, Lambertshire, MO 10000-2595",860 Oliver Glens,Suite 144,Lambertshire,MO,USA,10000-2595,10000,2595
Moss LLC,Government,Pending,Office,(886) 352-2711,Sales,robert.jones@moss.com,True,TAX97475,GST,HH21283,Active,"8816 Mcpherson Views, Millermouth, UT 14998-9850",8816 Mcpherson Views,,Millermouth,UT,USA,14998-9850,14998,9850
Boyd-Baker,LLC,Approved,Home,(981) 950-3912,Sales,shawn.phillips@boydbaker.com,True,TAX25415,GST,ET29430,Active,"0916 Cherry Tunnel Suite 423, Burnettchester, NC 56507-3039",0916 Cherry Tunnel Suite 423,,Burnettchester,NC,USA,56507-3039,56507,3039
Walton Group,Government,Pending,Mobile,(267) 214-6225,HR,kurt.lee@walton.com,False,TAX85090,LEI,rD36865,Inactive,"34467 Simmons Lodge Suite 775, Suite 639, Tinaland, WV 28320-6315",34467 Simmons Lodge Suite 775,Suite 639,Tinaland,WV,USA,28320-6315,28320,6315
Guerrero Ltd,Private,Pending,Mobile,(781) 472-1597,Business,cheryl.smith@guerrero.com,False,TAX18320,GST,zP54288,Inactive,"04459 Michael Road Suite 757, Suite 549, Harrisonburgh, AL 29956-7682",04459 Michael Road Suite 757,Suite 549,Harrisonburgh,AL,USA,29956-7682,29956,7682
Harrington Inc,LLC,Validated,Office,(266) 277-6395,Personal,heather.robertson@harrington.com,False,TAX16378,GST,ae58375,Active,"0724 Cooper Glens, Apt. 097, East Chad, CT 71556-4792",0724 Cooper Glens,Apt. 097,East Chad,CT,USA,71556-4792,71556,4792
"Patel, Edwards and Smith",LLC,Validated,Mobile,(688) 909-1943,Business,christopher.walker@patel.com,False,TAX41475,EIN,id51998,Active,"6274 John Expressway, Cassandraville, WA 53780-2527",6274 John Expressway,,Cassandraville,WA,USA,53780-2527,53780,2527
"Miller, Delgado and Marquez",Public,Validated,Mobile,(761) 803-2879,Personal,matthew.matthews@miller.com,True,TAX68887,TIN,bb82120,Active,"3199 Juan Heights, Tinachester, SD 71883-5347",3199 Juan Heights,,Tinachester,SD,USA,71883-5347,71883,5347
Gutierrez Inc,Public,Rejected,Home,(774) 789-6865,Business,mason.singh@gutierrez.com,False,TAX94198,TIN,zd83072,Inactive,"1429 Lucas Loop, Charlesshire, MS 59917-2575",1429 Lucas Loop,,Charlesshire,MS,USA,59917-2575,59917,2575
"Nielsen, Berger and Harrison",Partnership,Pending,Home,(887) 481-9673,Personal,rodney.russell@nielsen.com,False,TAX71520,LEI,CT97901,Inactive,"009 Mcmillan Trail Suite 123, Apt. 102, Dunnborough, SD 32113-5378",009 Mcmillan Trail Suite 123,Apt. 102,Dunnborough,SD,USA,32113-5378,32113,5378
"Miller, Martin and Mitchell",Private,Rejected,Mobile,(224) 992-6747,Personal,nicole.cook@miller.com,False,TAX90902,LEI,eI11334,Active,"2862 Sharp Course Apt. 725, Suite 916, Mckeeton, FL 79468-8377",2862 Sharp Course Apt. 725,Suite 916,Mckeeton,FL,USA,79468-8377,79468,8377
Price LLC,LLC,Pending,Home,(242) 217-5297,Business,brian.chase@price.com,False,TAX31296,GST,CB04697,Pending,"72224 Stacey Tunnel, Christopherport, WV 14711-9125",72224 Stacey Tunnel,,Christopherport,WV,USA,14711-9125,14711,9125
Sanchez-Brown,LLC,Approved,Office,(739) 267-1344,Personal,bruce.anderson@sanchezbrown.com,True,TAX32420,LEI,cL60422,Inactive,"61255 Ramirez Skyway, Suite 720, Robertschester, GU 15258-6404",61255 Ramirez Skyway,Suite 720,Robertschester,GU,USA,15258-6404,15258,6404
Hernandez Group,Government,In Review,Office,(818) 218-7029,Sales,justin.jennings@hernandez.com,True,TAX61423,DUNS,mb44282,Pending,"03634 Travis Fields Suite 228, Angelabury, MN 93528-4139",03634 Travis Fields Suite 228,,Angelabury,MN,USA,93528-4139,93528,4139
"Mitchell, Martinez and Bass",Private,Pending,Fax,(290) 720-6117,Support,michael.hickman@mitchell.com,False,TAX63285,TIN,sd82328,Expired,"84846 Campos Cove Apt. 262, Aliciaburgh, HI 34690-4548",84846 Campos Cove Apt. 262,,Aliciaburgh,HI,USA,34690-4548,34690,4548
"Harris, Friedman and Fletcher",Partnership,In Review,Fax,(430) 715-2384,Business,victor.tucker@harris.com,True,TAX91049,LEI,jG34630,Inactive,"264 Kevin Brook Apt. 916, Ianmouth, DC 44279-5077",264 Kevin Brook Apt. 916,,Ianmouth,DC,USA,44279-5077,44279,5077
Barajas and Sons,Partnership,Validated,Fax,(213) 832-4147,HR,david.davis@barajas.com,False,TAX82213,GST,Um59397,Expired,"293 Rice Expressway Suite 435, North Ericland, WI 91696-6472",293 Rice Expressway Suite 435,,North Ericland,WI,USA,91696-6472,91696,6472
Reed LLC,Non-Profit,Pending,Fax,(242) 568-8540,Personal,robert.adams@reed.com,True,TAX69306,PAN,nr30139,Expired,"67786 Allen Trace Apt. 072, Suite 989, North Thomas, OR 44678-5878",67786 Allen Trace Apt. 072,Suite 989,North Thomas,OR,USA,44678-5878,44678,5878
"Holder, Reeves and Williams",Government,In Review,Home,(771) 925-9278,HR,marcus.mccormick@holder.com,False,TAX47140,LEI,Mo21787,Active,"4024 Barry Roads Suite 305, Suite 850, New Stephenborough, AZ 51866-1068",4024 Barry Roads Suite 305,Suite 850,New Stephenborough,AZ,USA,51866-1068,51866,1068
Taylor Inc,Private,In Review,Office,(800) 880-7961,Personal,michelle.tucker@taylor.com,False,TAX25783,EIN,zv44579,Expired,"5151 Courtney Drive Suite 705, Apt. 860, South Anna, GU 88406-4522",5151 Courtney Drive Suite 705,Apt. 860,South Anna,GU,USA,88406-4522,88406,4522
Barton-Huang,Government,Rejected,Home,(573) 632-3241,Support,bruce.anderson@bartonhuang.com,True,TAX71173,DUNS,uE66009,Inactive,"3813 Paul Ports, Jackieland, VT 17198-9363",3813 Paul Ports,,Jackieland,VT,USA,17198-9363,17198,9363
Miller and Sons,Partnership,In Review,Fax,(297) 675-9119,Business,janet.gonzales@miller.com,False,TAX64124,LEI,vW21548,Pending,"8293 Dylan Lights Apt. 132, North Richard, GA 92383-1036",8293 Dylan Lights Apt. 132,,North Richard,GA,USA,92383-1036,92383,1036
Ingram-Greer,Government,Validated,Mobile,(427) 910-5999,HR,shannon.welch@ingramgreer.com,True,TAX23841,LEI,Bt20178,Expired,"9726 Jones Course, Apt. 781, South Anthony, IN 19174-7600",9726 Jones Course,Apt. 781,South Anthony,IN,USA,19174-7600,19174,7600
Norris-Russell,Non-Profit,In Review,Office,(674) 247-4437,Support,jennifer.barr@norrisrussell.com,False,TAX29657,LEI,jb57517,Inactive,"8141 Griffin Dam, Suite 506, North Joshuaton, IN 64992-8488",8141 Griffin Dam,Suite 506,North Joshuaton,IN,USA,64992-8488,64992,8488
West-Whitaker,LLC,Approved,Mobile,(907) 457-5764,Business,brian.taylor@westwhitaker.com,False,TAX91140,TIN,TF62119,Active,"8160 Brenda Ridges, Suite 185, Christianfurt, KY 67909-1257",8160 Brenda Ridges,Suite 185,Christianfurt,KY,USA,67909-1257,67909,1257
Wood Group,LLC,Pending,Fax,(626) 478-3437,Sales,michael.sullivan@wood.com,True,TAX59492,PAN,Gf68947,Pending,"035 Adams Corners, Apt. 453, South Kathleen, NV 22088-1427",035 Adams Corners,Apt. 453,South Kathleen,NV,USA,22088-1427,22088,1427
Stone-Alexander,Partnership,Pending,Fax,(260) 595-7518,Sales,rachel.briggs@stonealexander.com,True,TAX84942,LEI,ej65319,Expired,"2549 Rodriguez Loaf, Apt. 737, Steventon, VT 83924-9067",2549 Rodriguez Loaf,Apt. 737,Steventon,VT,USA,83924-9067,83924,9067
Mccoy-Phillips,LLC,Validated,Fax,(822) 905-8761,Sales,natalie.walsh@mccoyphillips.com,True,TAX17502,TIN,El65917,Pending,"4219 Pierce Courts Suite 526, Melissastad, IA 30187-8265",4219 Pierce Courts Suite 526,,Melissastad,IA,USA,30187-8265,30187,8265
"Stein, Booker and Garrett",Partnership,Rejected,Home,(415) 269-4080,Personal,louis.bright@stein.com,True,TAX18213,TIN,Hw10497,Active,"0386 Johnson View, Apt. 425, Brandyville, NY 46607-1674",0386 Johnson View,Apt. 425,Brandyville,NY,USA,46607-1674,46607,1674
"Gutierrez, Sandoval and Romero",Public,Validated,Fax,(334) 991-2031,Support,robert.walker@gutierrez.com,True,TAX93572,TIN,oN07595,Active,"979 Michelle Lock Suite 068, Apt. 373, East Joel, OH 55422-6720",979 Michelle Lock Suite 068,Apt. 373,East Joel,OH,USA,55422-6720,55422,6720
Stevens-Williams,LLC,Pending,Mobile,(724) 307-6646,Sales,joseph.harrison@stevenswilliams.com,False,TAX76001,TIN,ki94918,Expired,"18900 Teresa Highway, Apt. 598, Jeremyborough, SC 48481-5373",18900 Teresa Highway,Apt. 598,Jeremyborough,SC,USA,48481-5373,48481,5373
Wilson PLC,Partnership,Validated,Home,(462) 720-3872,Business,jessica.thompson@wilson.com,True,TAX44146,PAN,PZ48945,Inactive,"57748 Heather Run Suite 931, Thomasland, ND 34282-9922",57748 Heather Run Suite 931,,Thomasland,ND,USA,34282-9922,34282,9922
Suarez-Sullivan,Non-Profit,Rejected,Home,(767) 721-5197,Sales,eric.ruiz@suarezsullivan.com,False,TAX49463,PAN,zv95975,Pending,"65736 Troy Highway, Parkerfort, MT 76036-9649",65736 Troy Highway,,Parkerfort,MT,USA,76036-9649,76036,9649
"Jones, Garcia and Johns",Public,Rejected,Mobile,(444) 303-8807,Personal,kimberly.carter@jones.com,False,TAX31165,LEI,HL59516,Active,"163 Olsen Causeway Suite 933, Amymouth, OR 43854-1112",163 Olsen Causeway Suite 933,,Amymouth,OR,USA,43854-1112,43854,1112
Sexton-Hartman,LLC,Validated,Home,(875) 689-6110,Business,kevin.hayes@sextonhartman.com,False,TAX13381,TIN,hF71897,Inactive,"45209 Allen Parks, Suite 910, North Russell, PR 27192-5894",45209 Allen Parks,Suite 910,North Russell,PR,USA,27192-5894,27192,5894
Perry-Fowler,Public,Pending,Mobile,(757) 753-4992,Support,christopher.howard@perryfowler.com,False,TAX48858,EIN,Md29502,Active,"94552 Collins Squares, Brandiborough, CT 42534-5892",94552 Collins Squares,,Brandiborough,CT,USA,42534-5892,42534,5892
Adams-Thomas,Government,Approved,Office,(536) 568-2423,Personal,alyssa.rojas@adamsthomas.com,True,TAX78083,DUNS,re32282,Pending,"1621 Alyssa Hill Suite 055, Lake Josephberg, PW 10255-8361",1621 Alyssa Hill Suite 055,,Lake Josephberg,PW,USA,10255-8361,10255,8361
"Anderson, Lee and Finley",Private,Validated,Fax,(809) 382-9742,Personal,andrew.parsons@anderson.com,False,TAX88708,DUNS,Th74194,Active,"8172 Heather Station, Apt. 215, Samuelberg, ME 46432-2298",8172 Heather Station,Apt. 215,Samuelberg,ME,USA,46432-2298,46432,2298
Munoz-Richards,LLC,Pending,Office,(895) 966-7562,Personal,charles.mitchell@munozrichards.com,True,TAX37933,GST,GU89812,Pending,"44018 Perry Field Suite 254, Suite 574, North Eric, VT 69225-6241",44018 Perry Field Suite 254,Suite 574,North Eric,VT,USA,69225-6241,69225,6241
"Hale, Kelley and Mendez",Non-Profit,Approved,Fax,(807) 503-3714,Sales,joseph.preston@hale.com,True,TAX24326,DUNS,uv12701,Inactive,"77850 Galloway Brook, New Kimberlyhaven, WV 26613-9280",77850 Galloway Brook,,New Kimberlyhaven,WV,USA,26613-9280,26613,9280
Wise and Sons,Government,In Review,Fax,(408) 722-9417,HR,nicole.wong@wise.com,True,TAX17299,LEI,eF83928,Inactive,"972 Henry Manor Apt. 690, Suite 668, New Reneeshire, IA 23634-9124",972 Henry Manor Apt. 690,Suite 668,New Reneeshire,IA,USA,23634-9124,23634,9124
"Clark, Morales and Davis",LLC,Validated,Office,(217) 789-3445,Sales,amy.berry@clark.com,False,TAX89626,GST,nj06317,Expired,"41704 Ponce Locks, Gibsonview, IL 51329-5796",41704 Ponce Locks,,Gibsonview,IL,USA,51329-5796,51329,5796
Andrews-Guzman,Government,Approved,Mobile,(830) 923-3395,HR,randy.zimmerman@andrewsguzman.com,False,TAX63159,EIN,Qt50191,Pending,"00093 Hines Rapid, Williamston, OK 80073-4610",00093 Hines Rapid,,Williamston,OK,USA,80073-4610,80073,4610
Hall-Taylor,Partnership,Validated,Mobile,(881) 789-5880,Sales,juan.perry@halltaylor.com,False,TAX79951,EIN,gS60190,Pending,"2630 Navarro Flats Suite 270, Brittanyland, PA 13171-4378",2630 Navarro Flats Suite 270,,Brittanyland,PA,USA,13171-4378,13171,4378
Hamilton-Kline,Public,In Review,Home,(399) 578-9717,Personal,candace.murphy@hamiltonkline.com,True,TAX66802,TIN,gy82078,Expired,"226 Sandra Cape, Anthonyberg, LA 64687-7828",226 Sandra Cape,,Anthonyberg,LA,USA,64687-7828,64687,7828
Palmer-Cummings,Public,Rejected,Home,(276) 547-5713,HR,alexander.conrad@palmercummings.com,False,TAX41872,LEI,Td22263,Active,"61838 Theresa Lights, Apt. 874, North Jamiefurt, FL 71471-4747",61838 Theresa Lights,Apt. 874,North Jamiefurt,FL,USA,71471-4747,71471,4747
Harris-Dean,Private,Approved,Home,(896) 730-4793,HR,maurice.smith@harrisdean.com,True,TAX92782,LEI,LF35111,Pending,"93295 Steven Station Apt. 195, New Richardville, TN 23321-4640",93295 Steven Station Apt. 195,,New Richardville,TN,USA,23321-4640,23321,4640
Higgins-Powell,Non-Profit,Validated,Mobile,(676) 502-8295,Business,elizabeth.reyes@higginspowell.com,False,TAX36706,LEI,vC37382,Pending,"79116 Schmidt Turnpike Suite 936, Suite 972, Lake Brian, MN 50363-5116",79116 Schmidt Turnpike Suite 936,Suite 972,Lake Brian,MN,USA,50363-5116,50363,5116
Johnson and Sons,Government,Pending,Fax,(256) 974-8693,HR,john.moore@johnson.com,True,TAX64923,DUNS,It81440,Expired,"54344 Petty Land Suite 542, Craigview, NJ 50438-8949",54344 Petty Land Suite 542,,Craigview,NJ,USA,50438-8949,50438,8949
"Morrison, Morris and Hull",Private,Pending,Fax,(902) 477-5021,Sales,melissa.david@morrison.com,True,TAX56893,EIN,yX08730,Active,"187 Stein Crossing, North Darrenhaven, RI 63390-4552",187 Stein Crossing,,North Darrenhaven,RI,USA,63390-4552,63390,4552
Gordon-Payne,Public,Approved,Fax,(352) 840-2971,Support,jacob.everett@gordonpayne.com,False,TAX99468,EIN,NO16444,Expired,"17604 Veronica Estate, Apt. 785, Port Rebecca, TX 81849-4504",17604 Veronica Estate,Apt. 785,Port Rebecca,TX,USA,81849-4504,81849,4504
Woodward Inc,Non-Profit,Validated,Home,(990) 786-3426,Sales,steven.little@woodward.com,True,TAX61241,LEI,rO71886,Expired,"9451 Sandra Parkway, Suite 183, Nathanielport, CA 14939-6873",9451 Sandra Parkway,Suite 183,Nathanielport,CA,USA,14939-6873,14939,6873
Anderson Group,Non-Profit,Pending,Home,(441) 974-2844,Support,wendy.clark@anderson.com,False,TAX42165,EIN,CZ27675,Pending,"77522 Davis Burg Apt. 892, Apt. 183, New Eric, FM 48175-6448",77522 Davis Burg Apt. 892,Apt. 183,New Eric,FM,USA,48175-6448,48175,6448
Pena and Sons,Public,Validated,Fax,(203) 958-2817,Sales,austin.mcintyre@pena.com,True,TAX50031,EIN,Rl33120,Pending,"6309 Adrienne Gateway Apt. 509, Suite 996, Brianberg, MD 88833-6337",6309 Adrienne Gateway Apt. 509,Suite 996,Brianberg,MD,USA,88833-6337,88833,6337
Ramirez Inc,Non-Profit,In Review,Office,(752) 352-3344,Business,trevor.taylor@ramirez.com,False,TAX58023,LEI,LM08834,Pending,"1717 Melinda Hollow Apt. 752, Suite 622, South Andrew, FM 13671-5658",1717 Melinda Hollow Apt. 752,Suite 622,South Andrew,FM,USA,13671-5658,13671,5658
Lewis Inc,Private,In Review,Home,(673) 537-7012,Support,nancy.brooks@lewis.com,True,TAX36817,PAN,Bd56298,Pending,"717 Brandy Pine, Suite 400, South Katherineshire, SC 92422-7816",717 Brandy Pine,Suite 400,South Katherineshire,SC,USA,92422-7816,92422,7816
"Riddle, Austin and Joyce",Non-Profit,Validated,Fax,(436) 313-5879,Personal,colleen.colon@riddle.com,False,TAX43557,GST,Qw27769,Pending,"689 Pamela Springs, Suite 956, Lake Teresamouth, CA 99239-2682",689 Pamela Springs,Suite 956,Lake Teresamouth,CA,USA,99239-2682,99239,2682
Holmes-Cohen,Public,Rejected,Fax,(246) 811-8885,Personal,david.spencer@holmescohen.com,False,TAX22461,DUNS,yL64275,Expired,"186 Micheal Gardens, Melindachester, MH 60144-9145",186 Micheal Gardens,,Melindachester,MH,USA,60144-9145,60144,9145
"Warner, Hill and Charles",Private,Validated,Fax,(572) 204-4196,Personal,robert.walker@warner.com,True,TAX50134,EIN,lB92714,Pending,"8582 Adam Villages, South Jose, GU 60864-5645",8582 Adam Villages,,South Jose,GU,USA,60864-5645,60864,5645
Thomas Inc,Government,Pending,Fax,(717) 733-3106,Support,melanie.gillespie@thomas.com,True,TAX19971,TIN,ys51948,Pending,"37233 Wells Park Suite 547, South Timothy, MD 37076-5526",37233 Wells Park Suite 547,,South Timothy,MD,USA,37076-5526,37076,5526
Lyons-Watson,LLC,Approved,Home,(717) 585-3451,Sales,joseph.patterson@lyonswatson.com,False,TAX99750,DUNS,Co93625,Pending,"72776 Hannah Plain Suite 783, East Kristenmouth, WA 95528-1409",72776 Hannah Plain Suite 783,,East Kristenmouth,WA,USA,95528-1409,95528,1409
Armstrong Inc,Partnership,Pending,Fax,(931) 833-8685,Support,robin.gilbert@armstrong.com,False,TAX24174,LEI,qx55858,Expired,"0022 Brittany Mills, Apt. 651, Mitchellland, FM 43364-5544",0022 Brittany Mills,Apt. 651,Mitchellland,FM,USA,43364-5544,43364,5544
Wilson-Ayala,Private,In Review,Office,(699) 858-7785,Support,elizabeth.wright@wilsonayala.com,False,TAX90080,LEI,gZ59151,Expired,"64660 Krueger Heights, Christophermouth, NJ 98790-7903",64660 Krueger Heights,,Christophermouth,NJ,USA,98790-7903,98790,7903
"Davis, Archer and Yu",Partnership,Validated,Mobile,(642) 723-8020,HR,kimberly.rice@davis.com,True,TAX25846,LEI,CJ87215,Inactive,"9822 Miller Pass, Suite 947, Lake Ryan, NE 88950-2756",9822 Miller Pass,Suite 947,Lake Ryan,NE,USA,88950-2756,88950,2756
Guzman-Cervantes,Non-Profit,Rejected,Fax,(948) 876-7754,Sales,tiffany.roberts@guzmancervantes.com,True,TAX53009,DUNS,fc94532,Active,"7788 Krueger Summit, North Douglas, NV 80555-6293",7788 Krueger Summit,,North Douglas,NV,USA,80555-6293,80555,6293
"Reyes, Dorsey and Fox",Non-Profit,Rejected,Home,(233) 817-5223,Sales,lisa.hayden@reyes.com,True,TAX49583,DUNS,Iu85910,Active,"8553 Hannah Manors, East Marcus, AZ 66320-4599",8553 Hannah Manors,,East Marcus,AZ,USA,66320-4599,66320,4599
