Name,CompanyType,Address,Phone_Type,Phone_Number,ValidationStatus,Email_Type,Email_Value,Email_Active,TaxID,Identifiers_Type,Identifiers_Value,Identifiers_Status
Meyer-Mckee,Public,"004 Smith Manors, North Brianmouth, OR, USA - 43628-1639",Fax,671.596.2263x4774,Validated,HR,arobinson@example.com,True,TAX20627,EIN,fX91863,Inactive
Williams-Yoder,LLC,"84924 Victor Views Suite 567, Williamstown, MS, USA - 98441-6706",Office,743-342-9328,Validated,HR,jasminetanner@example.net,True,TAX45097,TIN,Po90403,Inactive
"Chaney, Smith and Brown",LLC,"8133 Francis Wall Suite 070, East Melissa, MT, USA - 11613-8360",Mobile,(460)271-0148,Approved,Personal,emilyzavala@example.net,True,TAX40516,PAN,ki72539,Active
Lee Ltd,Government,"142 David Ridge Apt. 780, Kristymouth, NY, USA - 75422-7291",Office,001-608-896-0168,Rejected,Support,uclark@example.com,False,TAX28252,EIN,ag08876,Inactive
"Martin, Moreno and Dillon",Partnership,"9030 Rodgers Junction, Richardshire, TN, USA - 34655-3723",Mobile,001-445-415-1648,In Review,Business,gharmon@example.net,True,TAX33272,TIN,VX87115,Inactive
"Bell, Miller and Walls",LLC,"2758 Steven Club, New Samantha, NM, USA - 58559-6250",Office,+1-636-924-8098x781,Approved,Personal,samuel43@example.net,False,TAX63921,GST,VZ31670,Inactive
Gutierrez-Best,Private,"7448 Park Shoals Apt. 339, South Troyside, MH, USA - 30946-5208",Home,001-966-892-2684x71342,Rejected,Support,fstephenson@example.net,False,TAX62302,EIN,to62464,Inactive
"Kent, Ray and Barr",LLC,"675 Yolanda Isle, Port Catherine, VI, USA - 59998-5313",Mobile,(263)777-1587,Pending,Personal,porteraudrey@example.net,False,TAX47599,GST,Tq70583,Inactive
Shea-Williams,LLC,"4246 Jonathan Inlet Apt. 089, Stephenmouth, MT, USA - 73960-6062",Home,+1-928-298-0398x988,Validated,Personal,benjaminharper@example.com,False,TAX48003,TIN,vm70378,Active
"Rivera, Allen and Higgins",Government,"791 Gibson Camp, Marissamouth, ND, USA - 82514-3706",Fax,+1-279-755-8459,In Review,Personal,pamelamorales@example.net,True,TAX48333,PAN,ox57843,Inactive
Peterson Ltd,Private,"138 Michael Cove Suite 413, Davidmouth, OH, USA - 33942-1733",Office,837.841.3374x85875,Rejected,HR,kristen50@example.org,False,TAX42577,PAN,eh47177,Inactive
"Moore, Miller and Hayden",Non-Profit,"92584 Harrison Square, Anthonymouth, VA, USA - 23662-4052",Office,557.219.1998x923,Rejected,HR,allenbrandi@example.org,True,TAX33387,PAN,eJ87183,Active
"Mcfarland, Medina and Mendoza",Government,"26949 Sutton Hill, Bridgetfurt, MT, USA - 94662-4015",Home,(711)499-3322x132,Pending,Support,ann06@example.net,True,TAX64216,DUNS,oP36577,Inactive
"Wolfe, Mitchell and Young",Public,"5846 Jonathan Bypass Suite 443, Lake Robinfort, NC, USA - 67161-6373",Home,001-752-241-9775,Approved,Sales,colleengoodman@example.net,False,TAX46529,PAN,HV73160,Inactive
"Conner, Cooke and Miller",Private,"2579 Jones Squares, South Charleshaven, MN, USA - 85865-8182",Fax,(835)414-4530,Approved,HR,zpeterson@example.org,False,TAX64473,EIN,JW03693,Active
"Kelly, Jarvis and Jackson",Private,"8064 Ruben Knoll Apt. 958, Port Tiffany, KY, USA - 37154-5246",Home,+1-770-387-4153,Rejected,Sales,rsmith@example.net,True,TAX73020,PAN,Jq54657,Inactive
"Galvan, Rice and Ruiz",LLC,"30272 Price Square Apt. 729, Mccarthyshire, FM, USA - 49798-1615",Fax,246-975-1553,Pending,Sales,laurenwheeler@example.org,True,TAX61868,PAN,DB29763,Inactive
Davis Group,LLC,"403 Jennifer Lock, East Loriburgh, NE, USA - 16135-7615",Mobile,001-880-949-1495x8111,Pending,Sales,william73@example.net,True,TAX94088,TIN,UU98810,Inactive
Thomas LLC,Public,"160 Moody Fords, Tylerland, ND, USA - 19610-1873",Office,225.702.7402,In Review,Support,amccoy@example.com,True,TAX12790,DUNS,cc55361,Inactive
"Dudley, Gross and Faulkner",Non-Profit,"45441 Rios Trail Apt. 154, Lake Laura, MH, USA - 53779-1187",Home,+1-590-752-2156x350,Rejected,Business,tcarter@example.com,False,TAX61674,EIN,sY00219,Inactive
Martin-Rogers,Partnership,"23730 Jessica Lodge, Smithfort, AS, USA - 79804-2499",Fax,697-730-2446,Rejected,Sales,chelsey09@example.org,False,TAX37506,LEI,oQ28537,Active
"Beck, Thomas and Reyes",Non-Profit,"451 Molly Cliff, Casemouth, UT, USA - 52509-7253",Office,+1-376-661-9987,Rejected,Sales,blackjonathan@example.net,True,TAX68267,LEI,pq96873,Active
"Castaneda, Bradshaw and Marquez",LLC,"87324 Ramirez Flats, Christiechester, NY, USA - 27621-3342",Office,+1-574-789-1264x01548,In Review,Business,haileywilkinson@example.org,True,TAX40210,TIN,dV50338,Active
Smith-Potter,LLC,"3450 Hayes Landing, Port Thomas, IN, USA - 92952-3009",Office,001-510-366-6174x29776,Approved,Sales,jacobmolina@example.net,False,TAX71888,DUNS,Nm70588,Active
Nguyen-Clark,Non-Profit,"8195 Julie Views Apt. 558, West Zachary, TN, USA - 22591-2754",Mobile,668.643.7712x438,Validated,Personal,shannonparsons@example.net,True,TAX11262,TIN,rM43350,Inactive
Taylor PLC,Non-Profit,"287 Bobby Creek, East Kaitlynchester, SD, USA - 30329-3934",Home,(316)333-1106,Pending,Personal,hahnandrew@example.org,False,TAX64279,EIN,fi92392,Active
Graves Group,Public,"6284 Andrade Isle Apt. 768, Smithview, OK, USA - 24696-3210",Office,(335)434-7322x129,In Review,Support,dmorales@example.com,True,TAX14028,DUNS,vE19348,Active
Brown Group,Government,"618 Andrea Square, West Johnburgh, FM, USA - 99044-9707",Office,(281)505-6703x99220,Approved,Personal,bettymorgan@example.com,True,TAX68185,TIN,iI34785,Inactive
"Morgan, Richardson and Webb",LLC,"43383 Laurie Avenue, Veronicafurt, AS, USA - 61968-6545",Office,(610)851-9081,Approved,Support,otaylor@example.net,False,TAX67900,GST,Os31540,Active
Fisher PLC,Private,"5386 Daniels Tunnel, West Wayne, TX, USA - 62342-4026",Home,565.653.9208x8969,In Review,Support,patelkimberly@example.com,False,TAX14782,PAN,tM85897,Inactive
"Freeman, Rogers and Hudson",Non-Profit,"6345 Cervantes Row, Justinberg, HI, USA - 71765-9784",Fax,001-411-934-1698x99597,Validated,Sales,rogersrandy@example.com,False,TAX85673,GST,iJ83666,Inactive
Cross PLC,Government,"50659 Turner Shoals Suite 278, West Jennifer, VT, USA - 66608-8471",Mobile,493.814.1777x0814,Approved,Support,byang@example.net,True,TAX85207,EIN,xl74379,Inactive
Carlson-Vasquez,Public,"85586 Madeline Brook Apt. 475, South Pamelaport, DC, USA - 91948-8726",Home,892-615-3522,Validated,Business,lindseycaitlyn@example.org,True,TAX58704,GST,Yd60978,Active
"Becker, Moore and Bernard",Public,"2230 Martha Mountains Apt. 265, South Lee, MT, USA - 21087-2577",Office,+1-985-407-9267x2306,Rejected,Business,david56@example.net,True,TAX59084,GST,KD27224,Active
"Bradford, Fleming and Stewart",Private,"600 Darren Passage, Bauerfurt, NJ, USA - 85293-8419",Home,314-961-1020,Pending,Business,yjones@example.com,False,TAX98132,LEI,cQ37317,Active
Rangel-Lawrence,Government,"4183 Butler Club Suite 285, New Sarahtown, NY, USA - 89378-5714",Fax,001-841-257-1220x1748,Approved,Support,granthannah@example.net,True,TAX56320,EIN,Yj66091,Active
"Scott, Guzman and Brown",Government,"14504 Crane Point Suite 117, New Haroldchester, MO, USA - 18103-2724",Fax,001-288-796-7593x738,Rejected,HR,jose46@example.org,True,TAX88244,TIN,LE50315,Active
"Beard, Hopkins and Dean",Non-Profit,"33075 Stephen Glens, Lake Ashley, WI, USA - 36947-2606",Mobile,001-250-642-1060,Rejected,Support,aestrada@example.net,True,TAX43683,TIN,xJ97525,Active
Hood PLC,Non-Profit,"49989 Susan Radial Suite 407, Port Richard, AK, USA - 95144-3167",Office,001-912-516-5718x307,Pending,HR,epeterson@example.com,True,TAX70707,PAN,vN68170,Inactive
Barker-Davis,Private,"264 Conrad Streets Suite 931, Josephton, IN, USA - 61263-6356",Fax,414.732.7804x4722,Rejected,Support,dwayne85@example.org,False,TAX74620,DUNS,XB68073,Active
"Murphy, Reed and Schaefer",Partnership,"8194 Victor Fields, Anthonyfort, VT, USA - 66567-8954",Fax,(280)735-7912,Validated,Business,mnolan@example.com,False,TAX15469,EIN,ph13845,Active
Long PLC,Non-Profit,"19413 Reed Trace Apt. 683, Millerfurt, ID, USA - 81238-9786",Mobile,001-376-918-1077,Pending,Sales,jennifer01@example.net,True,TAX46402,TIN,Gd30859,Inactive
Jensen and Sons,Private,"770 Stacy Drive Suite 960, Copelandport, ND, USA - 61777-3297",Office,001-882-928-7938x29165,Rejected,HR,walkerjohn@example.com,True,TAX35827,PAN,nd01875,Inactive
Richards PLC,Non-Profit,"2323 Mahoney Garden, Roseshire, NJ, USA - 28977-7516",Mobile,273.361.1061,In Review,Support,stephen83@example.net,True,TAX37381,EIN,Hz33734,Inactive
Crawford-Melton,LLC,"72216 Evans Flats Suite 948, Jensenbury, MO, USA - 28496-6363",Mobile,001-591-757-7480x1883,Validated,Sales,donriggs@example.org,False,TAX81662,GST,Iy85092,Active
Howell-Harvey,Public,"32992 Bradley Ridge, South Grace, AS, USA - 29533-5178",Mobile,+1-299-422-8950x230,Rejected,Personal,laurie17@example.com,False,TAX35345,GST,Ks37146,Inactive
Mccullough-Garner,Public,"244 Allen Glens, North Brandonmouth, VI, USA - 99991-9482",Home,(326)368-5239,In Review,Sales,brownmatthew@example.com,True,TAX21616,PAN,vZ70089,Active
Ford Inc,Public,"3367 Allen Circles, Kimberlyville, MI, USA - 20590-3764",Mobile,(744)341-6619x92802,Approved,Sales,josephsimon@example.net,False,TAX13394,GST,Fm53929,Inactive
Gomez-Smith,LLC,"076 Roy Forges, Port Denise, MT, USA - 13597-4165",Fax,001-525-940-5151x38666,Approved,Business,wkerr@example.org,False,TAX94437,DUNS,wQ01324,Inactive
"Silva, Miller and Simpson",LLC,"01556 Waller Parkways, North Stephanie, MP, USA - 14078-7053",Mobile,001-310-925-3464x041,Pending,Personal,dcook@example.com,True,TAX44983,EIN,uM86374,Inactive
Hernandez Group,LLC,"2146 Best Skyway, Donnashire, CT, USA - 59667-5228",Office,(472)453-5505x4059,In Review,Business,rrodriguez@example.org,False,TAX26635,PAN,MR13603,Active
"Ferguson, Dixon and Carroll",Public,"5840 Catherine Mews Suite 945, Riceborough, PR, USA - 79991-9539",Fax,9439740476,Rejected,Personal,robertsryan@example.org,False,TAX40097,PAN,bA25697,Active
Rush Inc,Public,"381 Douglas Plaza Apt. 145, South Aaronberg, DC, USA - 38322-9538",Fax,723.546.7892x376,Validated,Support,kinggabrielle@example.com,True,TAX26401,EIN,TX24160,Inactive
Johnson-Williams,LLC,"19624 Yu Port, Lake Matthewborough, RI, USA - 92821-9068",Fax,001-875-769-3008x980,In Review,Support,monica97@example.com,True,TAX45658,LEI,Ha69767,Active
Parker Inc,LLC,"46371 Cardenas Views Apt. 444, West Erikashire, KS, USA - 56539-9320",Mobile,+1-748-212-9009x86755,In Review,Sales,maldonadodaniel@example.net,False,TAX44201,TIN,qA42247,Active
Leblanc-Sanchez,LLC,"3903 Norris Center, Brianchester, OH, USA - 67474-7270",Fax,+1-820-325-6441,Pending,Support,claudiaevans@example.com,False,TAX72216,GST,eN10165,Active
"Love, Owens and Jackson",Partnership,"3738 Joseph Junction, North John, PW, USA - 24854-5084",Mobile,975.586.5039x088,Approved,Personal,austin86@example.org,True,TAX70929,DUNS,BK11979,Inactive
Copeland Group,Non-Profit,"46646 Baker Summit, Jonestown, KS, USA - 48648-2258",Mobile,658.474.5145x22927,Approved,HR,qmoran@example.org,False,TAX87802,LEI,nK04787,Active
Jones-Gutierrez,Private,"2675 Wade Knolls Suite 684, Kathrynside, OK, USA - 35036-2331",Fax,549-638-3824x1800,Pending,Business,christophermejia@example.net,True,TAX91639,PAN,Gx65220,Inactive
"Oconnor, Gutierrez and Tran",Non-Profit,"27190 Bryan Flat, North Lisatown, NC, USA - 84181-9426",Mobile,276.519.2685,Pending,HR,jessica93@example.com,True,TAX43101,EIN,bg80591,Active
Wells-Good,Public,"28837 Stephanie Station, West Lisaburgh, RI, USA - 86136-4907",Office,(502)604-2338,Approved,Personal,david74@example.com,True,TAX99913,DUNS,lz88762,Inactive
"Francis, Johnson and Cowan",Partnership,"1452 Jennifer Cliffs, Port Joseph, MH, USA - 40038-1308",Office,+1-513-922-9065x329,Pending,Business,williamblack@example.net,True,TAX40298,LEI,wv75587,Active
"Tran, Little and Mason",Non-Profit,"437 Cain Prairie, Martinburgh, AR, USA - 38219-5865",Mobile,+1-813-321-3576x088,Pending,HR,michelle98@example.org,True,TAX41991,GST,bv67405,Inactive
"Bell, Shaw and King",Private,"040 Jason Brooks Apt. 726, Smithport, AZ, USA - 16798-1880",Mobile,+1-973-562-2303x700,In Review,Support,angela97@example.org,True,TAX29823,DUNS,iZ73458,Inactive
Howe-Andrews,Public,"895 Sabrina Estates Suite 683, North Charlesmouth, MH, USA - 91635-9206",Home,001-792-697-4657x5067,Rejected,HR,fhudson@example.org,True,TAX77845,TIN,pa88840,Inactive
Swanson-Jackson,Non-Profit,"4495 Castillo Drive Apt. 279, Duartemouth, AR, USA - 15253-2582",Home,001-689-692-4575x9729,In Review,Support,zdominguez@example.net,False,TAX11568,PAN,nJ14854,Inactive
"Stevenson, Williams and Strong",Government,"833 Gentry Trail, Tylerbury, AK, USA - 59530-5521",Fax,001-886-841-2860x693,In Review,Personal,sean00@example.org,False,TAX71999,GST,nF35721,Inactive
"Valdez, Baker and Roberts",LLC,"3930 Katie Mills, Johnsonberg, WV, USA - 14860-6704",Home,771-487-7445x78296,Validated,Business,xbates@example.org,False,TAX80221,GST,ai95720,Active
"Anderson, Gallegos and Owens",Public,"538 Perez Greens Apt. 477, Lake Brett, AR, USA - 64238-9160",Mobile,(649)368-1141,In Review,HR,christine27@example.net,True,TAX16259,EIN,va45498,Inactive
Arroyo PLC,Partnership,"23465 Harris Roads, West Chrisbury, MP, USA - 54735-2004",Office,501-949-9635,Rejected,HR,tbishop@example.net,False,TAX17071,PAN,ex13885,Active
Miller LLC,Public,"9473 Snyder Villages Apt. 528, Lake Ethan, NH, USA - 21722-1713",Mobile,+1-824-808-0816x578,Approved,Business,stephaniepaul@example.net,True,TAX25880,LEI,Hs48872,Active
Castillo-Gomez,Public,"324 April Haven Suite 769, Lucasmouth, CT, USA - 70484-7694",Fax,481.349.2200x719,Validated,Support,nicholassmith@example.net,False,TAX48590,LEI,de05142,Inactive
"Barron, Miranda and Carson",Private,"64353 Johnston Plains Suite 356, South Elizabethberg, WA, USA - 32697-4583",Home,332-422-7297x502,Pending,HR,njackson@example.com,False,TAX61033,TIN,rm17527,Active
Nicholson-Watson,LLC,"5974 William Parks, South John, FL, USA - 84582-8902",Fax,405.448.4732x638,Rejected,Business,nmartin@example.org,True,TAX76730,GST,Vb38557,Inactive
Thomas-Baker,Non-Profit,"646 Jonathan Mills Apt. 959, East Jeanstad, TN, USA - 33952-2185",Mobile,+1-912-494-2494x2155,Approved,HR,rfischer@example.org,False,TAX55241,GST,Yz72924,Inactive
Taylor-Moreno,LLC,"7775 Paul Pine Apt. 164, Reedshire, CA, USA - 42273-7984",Home,819-253-3299,Rejected,Support,brendabrown@example.com,False,TAX78604,GST,FN13341,Active
Hernandez Ltd,Private,"612 Crystal Mission Apt. 756, North Janiceborough, AL, USA - 94340-1886",Mobile,001-632-222-8903x47557,Validated,HR,ithomas@example.net,False,TAX27772,LEI,jH24652,Active
Mcknight-Hester,Non-Profit,"730 Lee Villages, Christopherfurt, NY, USA - 83019-8200",Mobile,2786703569,Rejected,Sales,christy53@example.org,True,TAX59047,PAN,pY82177,Active
Franco Inc,Public,"529 Jacob Circle, South Karenview, MH, USA - 88594-8212",Fax,(618)715-4027x77474,Approved,Personal,cbutler@example.org,True,TAX28113,EIN,ao89209,Inactive
Romero-Thompson,Government,"28461 Bradford Estate Apt. 284, South Tylerfurt, NE, USA - 46405-3819",Fax,707.900.5689x358,Rejected,Support,andrewgarcia@example.org,False,TAX99124,PAN,Ty95603,Active
Hodges-Mccullough,LLC,"6503 Gomez Viaduct, Virginialand, VT, USA - 71568-7142",Home,270-233-5013x4616,Pending,Support,pcastillo@example.net,True,TAX98873,LEI,gB97977,Active
Murillo-Bean,Government,"5233 Smith Camp, Kristibury, LA, USA - 81225-5417",Mobile,(583)926-9859,In Review,HR,jonesjim@example.org,False,TAX43545,LEI,ac69866,Inactive
"Frank, Huff and Sanchez",Non-Profit,"9966 Walker Groves, Larsonport, MT, USA - 47366-5954",Mobile,001-960-252-5252x844,Approved,HR,terrelljoshua@example.com,True,TAX57468,TIN,JV81677,Inactive
Johnson Ltd,Private,"8846 Mccarthy Isle Apt. 548, Derekside, KS, USA - 44220-5719",Home,216.901.4746x918,Rejected,Personal,peter72@example.net,False,TAX45612,LEI,sC54415,Inactive
Stone-Johnson,Non-Profit,"727 Moore Crest Suite 705, Jenkinsview, VI, USA - 63124-3458",Office,+1-834-895-6365,Pending,Business,nnewton@example.com,True,TAX32557,TIN,ng84225,Inactive
"Moore, Williamson and Wilson",Public,"7783 Chandler Stream Apt. 365, Toddbury, MI, USA - 55098-3626",Home,9929575633,Approved,Sales,michael83@example.com,False,TAX88595,LEI,St45372,Inactive
Smith-Simpson,Partnership,"8866 Kevin Brook, Lake Christianstad, KY, USA - 19037-4978",Office,(543)447-0062x66160,Validated,Business,vhickman@example.org,False,TAX41571,EIN,Sb51811,Active
Peterson LLC,Private,"6507 William Spur Suite 849, New Mary, WA, USA - 69938-5366",Office,630-981-1866,In Review,Sales,fbenson@example.net,False,TAX24777,DUNS,GP74233,Active
Williams-Doyle,Public,"763 Julie Forks Apt. 944, Nelsontown, ID, USA - 50927-8519",Home,001-761-252-4321,Rejected,Support,xjohnson@example.org,False,TAX60401,TIN,Lu44241,Inactive
"Allen, Reynolds and Peterson",Partnership,"5321 Williamson Pike, North Jorgeside, AS, USA - 44756-1500",Fax,940-263-5374,Rejected,HR,agonzales@example.net,True,TAX73377,EIN,SM29407,Inactive
"Zhang, Mcdonald and Miller",Public,"1240 Michael Port, Wrighttown, KS, USA - 74138-6325",Fax,(706)441-6186,Rejected,Support,olsonbrandi@example.net,True,TAX49881,TIN,Pt21501,Active
Baker Group,Partnership,"2061 Anderson View Suite 449, East Emilyshire, HI, USA - 81925-2419",Fax,+1-225-530-5668x58874,Validated,Support,clinemaria@example.com,True,TAX33682,PAN,iE17517,Inactive
Parrish-Brooks,Non-Profit,"1590 Laura Manor, Lake Laurenbury, WY, USA - 36077-2963",Fax,(469)540-0968,Approved,Business,kayla85@example.net,True,TAX42268,EIN,sO21565,Active
"Walker, Rodriguez and Walter",Private,"8688 Cox Centers, West Ashleyland, MN, USA - 13020-1959",Office,521-703-0565,Pending,HR,robleskenneth@example.com,True,TAX71178,EIN,JH00100,Active
Kerr-Mccarthy,Government,"605 Bruce Junctions, Estesmouth, IN, USA - 95053-4618",Office,559-647-0939x272,In Review,Business,amywilliams@example.org,False,TAX52886,GST,vp19630,Active
Duran PLC,LLC,"7466 Jonathan Spurs, Justinshire, MT, USA - 30665-9669",Office,2565053193,Pending,HR,daniel57@example.com,True,TAX43339,DUNS,Ee56211,Inactive
"Patterson, Anthony and Williamson",Non-Profit,"428 Wilson Crossing, Lake James, ID, USA - 94771-3445",Mobile,(646)508-6895,In Review,HR,garciashelley@example.org,False,TAX20070,LEI,RH06079,Inactive
"Miller, Foster and Cunningham",Private,"716 Mata Springs, Martinezview, MN, USA - 77821-2532",Home,525.635.5746,Approved,Personal,andersonedward@example.com,False,TAX77559,EIN,FF78633,Inactive
Watson-Jones,Public,"085 Samantha Camp Suite 874, Riceshire, ME, USA - 28323-6349",Fax,(499)495-3381,Validated,Sales,shermandavid@example.org,True,TAX35773,TIN,hY53997,Inactive
Gutierrez Ltd,Partnership,"96462 Amber Pine, Stephenland, TX, USA - 80977-7747",Mobile,+1-285-392-1587,Validated,Personal,kristine74@example.net,True,TAX42600,EIN,DX76420,Inactive
Schmidt LLC,LLC,"376 Parsons Avenue, New Allisonside, AZ, USA - 90845-6884",Office,(444)541-7762x069,Rejected,Support,steven12@example.org,True,TAX44643,GST,Sr64638,Active
Carter and Sons,Government,"33656 Copeland Light Suite 282, Lake Kimberlytown, WA, USA - 48968-5435",Office,338-770-4026x819,Rejected,HR,lking@example.org,False,TAX57148,LEI,Fp43621,Active
"Moody, Perez and Drake",Partnership,"18083 Karen Groves, Miketon, AL, USA - 76087-3579",Office,+1-460-436-5245x69891,In Review,Support,yhoffman@example.org,False,TAX58795,EIN,lR04314,Active
Brown Inc,LLC,"045 Megan Motorway Suite 867, North Benjamin, MA, USA - 53212-3101",Fax,(534)326-5479,Rejected,Sales,craiglee@example.net,False,TAX38003,DUNS,Yw84339,Active
Fry-Moore,LLC,"9581 Johnston Light Suite 889, West Gregory, WY, USA - 94030-4061",Office,725-285-5791x51996,In Review,Sales,johnsonkeith@example.net,True,TAX37642,TIN,al10241,Active
Wright-Finley,Non-Profit,"259 James Ville Suite 151, North Caroline, CO, USA - 79784-8521",Mobile,870.831.4919x54715,In Review,Business,clarkbrandon@example.org,False,TAX47165,PAN,HA91231,Inactive
Alexander LLC,Government,"83011 Alexander Wall Suite 953, Port Amberborough, SC, USA - 95662-3545",Fax,(720)794-1460x74751,Pending,HR,cruzkevin@example.com,True,TAX41941,LEI,PO04895,Active
Lopez Group,Government,"288 Christopher Expressway, Garzashire, PR, USA - 78009-2978",Fax,209.589.3918x590,Approved,Sales,oconnordanielle@example.org,True,TAX59749,TIN,VF94221,Active
Hernandez Inc,Partnership,"282 Blevins Valleys, West Franciscofurt, DC, USA - 57352-4281",Mobile,356.599.4891x663,Rejected,Business,dianavilla@example.com,True,TAX51709,PAN,xZ44179,Inactive
"Perry, Robinson and Simmons",Non-Profit,"7167 Robin Viaduct Suite 572, West Bobby, MP, USA - 64307-4506",Fax,(959)744-2285,Rejected,HR,gwilliams@example.org,False,TAX67326,LEI,aI87173,Active
Morales-Roman,Government,"5841 Turner Club Suite 017, Douglasburgh, NM, USA - 55278-6443",Office,+1-981-515-9083,Approved,Business,katherine45@example.net,False,TAX22301,EIN,iz84343,Active
"Fisher, Salinas and Simpson",Non-Profit,"270 Logan Oval Suite 141, Port Shari, NH, USA - 11342-1844",Mobile,001-940-712-0870x1287,In Review,Support,bridgesjamie@example.com,True,TAX33071,EIN,NP18287,Inactive
"Rodgers, Schmidt and Martin",Private,"6683 Brian Forges, East James, MT, USA - 36544-7793",Mobile,513.315.8001x48349,Approved,Support,joyce23@example.net,True,TAX17051,PAN,Jq84059,Inactive
Hill PLC,Public,"149 Price Mission Suite 171, Jeffreyberg, VA, USA - 59676-3714",Fax,382-495-9585,Validated,Personal,gonzalezangela@example.com,True,TAX45598,PAN,Kg61632,Active
